"Листовые детали","","","","","","","","","","","","","",""
"№","Наименование","Код","A мм.","B мм.","a мм.","b мм.","Толщина мм.","Площадь кв.м.","Кромки","Сердцевина","Лицевая сторона","Тыльная сторона","Текстура","Кол."
"61","Н02-фасад","Н02-03","496","716","496","716","16","0.35514","Нет","Дуб тёмный","Без облицовки","Без облицовки","Поперёк","1"
"62","Н02-фасад-фальш","Н02-03","100","716","100","716","16","0.0716","Нет","Дуб тёмный","Без облицовки","Без облицовки","Поперёк","1"
"63","Н02-царга","Н02-06","812","100","812","100","16","0.0812"," Н В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"64","Н03-дно","Н03-12","510","600","510","600","16","0.306"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"65","Н03-стоевая","Н03-07","704","510","704","510","16","0.35904"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","2"
"66","Н03-фасад","Н03-01","596","142","596","142","16","0.08463","Нет","Дуб тёмный","Без облицовки","Без облицовки","Вдоль","1"
"67","Н03-фасад","Н03-02","596","284","596","284","16","0.16926","Нет","Дуб тёмный","Без облицовки","Без облицовки","Вдоль","2"
"68","Н03-хдф","Н03-03","596","716","596","716","3","0.42674","Нет","ХДФ","Без облицовки","Без облицовки","Не определена","1"
"69","Н03-царга","Н03-08","568","100","568","100","16","0.0568"," Н В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","2"
"70","Н03-ящик-бок","Н03-05","500","120","500","120","16","0.06"," В ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Вдоль","4"
"71","Н03-ящик-бок","Н03-06","500","86","500","86","16","0.043"," В ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Не определена","2"
"72","Н03-ящик-дно","Н03-04","542","500","542","500","16","0.271"," Н Л П ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Не определена","3"
"73","Н03-ящик-зад","Н03-09","510","180","510","180","16","0.0918"," Л В П ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Не определена","2"
"74","Н03-ящик-зад","Н03-10","510","120","510","120","16","0.0612"," В ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Не определена","2"
"75","Н03-ящик-зад","Н03-11","510","86","510","86","16","0.04386"," В ","ЛДСП 16 Белый 1850 1,83х2,75 Ш (40)","Без облицовки","Без облицовки","Не определена","2"
"76","Н04-Дно","Н04-01","510","600","510","600","16","0.306"," Л П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Поперёк","1"
"77","Н04-печной-полка","Н04-07","510","568","510","568","16","0.28968"," Л П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Поперёк","1"
"78","Н04-стоевая","Н04-02","704","510","704","510","16","0.35904"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"79","Н04-стоевая","Н04-02","704","510","704","510","16","0.35904"," Н В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","1"
"80","Н04-фасад-печной","Н04-03","596","116","596","116","16","0.06914","Нет","Дуб тёмный","Без облицовки","Без облицовки","Вдоль","1"
"81","Н04-ящик-бок","Н04-04","460","50","460","50","16","0.023"," Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","2"
"82","Н04-ящик-дно","Н04-06","543","460","543","460","16","0.24978"," Н Л В П ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Не определена","1"
"83","Н04-ящик-зад","Н04-05","511","50","511","50","16","0.02555"," В ","ЛДСП 16 Ясень Анкор Темный 9435 1,83х2,75 ГП (40)","Без облицовки","Без облицовки","Вдоль","2"
